item_type,item_id,field,old_value,row_count,paper_count,supported_count,example_papers,example_titles,new_value,decision,notes
mechanic,not_reported,mechanic_name,not_reported,3034,288,2297,paper_001 | paper_002 | paper_003 | paper_004 | paper_005,Activity and Energy Expenditure in Older People Playing Active Video Games | The effects of an action video game on visual and affective information processing | Interactive video games to reduce paediatric procedural pain and anxiety: a systematic review and meta-analysis,,,
mechanic,Movement Control,mechanic_name,Movement Control,469,41,367,paper_001 | paper_003 | paper_004 | paper_008 | paper_015,Activity and Energy Expenditure in Older People Playing Active Video Games | Interactive video games to reduce paediatric procedural pain and anxiety: a systematic review and meta-analysis | Exposure to ﬁrst-person shooter videogames is associated with multisensory temporal precision and migraine incidence,,,
mechanic,Targeting,mechanic_name,Targeting,201,25,188,paper_004 | paper_024 | paper_025 | paper_042 | paper_092,Exposure to ﬁrst-person shooter videogames is associated with multisensory temporal precision and migraine incidence | An action video game for the treatment of amblyopia in children: A feasibility study | Moderating effects of visual attention and action video game play on perceptual learning with the texture discrimination task,,,
mechanic,Combat,mechanic_name,Combat,193,23,181,paper_004 | paper_024 | paper_025 | paper_092 | paper_093,Exposure to ﬁrst-person shooter videogames is associated with multisensory temporal precision and migraine incidence | An action video game for the treatment of amblyopia in children: A feasibility study | Moderating effects of visual attention and action video game play on perceptual learning with the texture discrimination task,,,
mechanic,Rapid Response,mechanic_name,Rapid Response,184,20,172,paper_004 | paper_024 | paper_025 | paper_092 | paper_093,Exposure to ﬁrst-person shooter videogames is associated with multisensory temporal precision and migraine incidence | An action video game for the treatment of amblyopia in children: A feasibility study | Moderating effects of visual attention and action video game play on perceptual learning with the texture discrimination task,,,
mechanic,Gesture Input,mechanic_name,Gesture Input,253,13,166,paper_001 | paper_008 | paper_170 | paper_171 | paper_172,Activity and Energy Expenditure in Older People Playing Active Video Games | FlashReport Media violence and the self: The impact of personalized gaming characters in aggressive video games on aggressive behavior | Active video games as an exercise tool for children with cystic ﬁbrosis,,,
mechanic,Sports Simulation,mechanic_name,Sports Simulation,192,10,122,paper_001 | paper_008 | paper_170 | paper_171 | paper_219,Activity and Energy Expenditure in Older People Playing Active Video Games | FlashReport Media violence and the self: The impact of personalized gaming characters in aggressive video games on aggressive behavior | Active video games as an exercise tool for children with cystic ﬁbrosis,,,
mechanic,Immersive Interaction,mechanic_name,Immersive Interaction,32,8,29,paper_003 | paper_015 | paper_033 | paper_036 | paper_176,Interactive video games to reduce paediatric procedural pain and anxiety: a systematic review and meta-analysis | Can video games enhance surgical skills acquisition for medical students? A systematic review | Brands in virtual reality games: Affective processes within computer-mediated consumer experiences,,,
mechanic,Multisensory Feedback,mechanic_name,Multisensory Feedback,32,8,29,paper_003 | paper_015 | paper_033 | paper_036 | paper_176,Interactive video games to reduce paediatric procedural pain and anxiety: a systematic review and meta-analysis | Can video games enhance surgical skills acquisition for medical students? A systematic review | Brands in virtual reality games: Affective processes within computer-mediated consumer experiences,,,
mechanic,Competition,mechanic_name,Competition,25,8,18,paper_021 | paper_043 | paper_079 | paper_096 | paper_114,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Cooperation,mechanic_name,Cooperation,25,8,18,paper_021 | paper_043 | paper_079 | paper_096 | paper_114,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Resource Management,mechanic_name,Resource Management,25,8,18,paper_021 | paper_043 | paper_079 | paper_096 | paper_114,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Balance Training,mechanic_name,Balance Training,61,6,44,paper_001 | paper_170 | paper_171 | paper_172 | paper_197,Activity and Energy Expenditure in Older People Playing Active Video Games | Active video games as an exercise tool for children with cystic ﬁbrosis | Physiological response during activity programs using Wii-based video games in patients with cystic ﬁbrosis (CF),,,
mechanic,Physical Imitation,mechanic_name,Physical Imitation,61,6,44,paper_001 | paper_170 | paper_171 | paper_172 | paper_197,Activity and Energy Expenditure in Older People Playing Active Video Games | Active video games as an exercise tool for children with cystic ﬁbrosis | Physiological response during activity programs using Wii-based video games in patients with cystic ﬁbrosis (CF),,,
mechanic,Puzzle Solving,mechanic_name,Puzzle Solving,21,6,18,paper_042 | paper_069 | paper_103 | paper_256 | paper_279,Enriching hippocampal memory function in older adults through video games | Effects of commercial video games on cognitive elaboration of physical concepts | Using video game play to improve education-majors’ mathematical performance: An experimental study,,,
mechanic,Ability Casting,mechanic_name,Ability Casting,16,5,9,paper_021 | paper_043 | paper_079 | paper_114 | paper_126,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Base Destruction,mechanic_name,Base Destruction,16,5,9,paper_021 | paper_043 | paper_079 | paper_114 | paper_126,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Champion Selection,mechanic_name,Champion Selection,16,5,9,paper_021 | paper_043 | paper_079 | paper_114 | paper_126,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Farming,mechanic_name,Farming,16,5,9,paper_021 | paper_043 | paper_079 | paper_114 | paper_126,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Item Purchasing,mechanic_name,Item Purchasing,16,5,9,paper_021 | paper_043 | paper_079 | paper_114 | paper_126,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Lane Control,mechanic_name,Lane Control,16,5,9,paper_021 | paper_043 | paper_079 | paper_114 | paper_126,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Leveling,mechanic_name,Leveling,16,5,9,paper_021 | paper_043 | paper_079 | paper_114 | paper_126,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Map Vision,mechanic_name,Map Vision,16,5,9,paper_021 | paper_043 | paper_079 | paper_114 | paper_126,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Objective Control,mechanic_name,Objective Control,16,5,9,paper_021 | paper_043 | paper_079 | paper_114 | paper_126,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Team-Based Combat,mechanic_name,Team-Based Combat,16,5,9,paper_021 | paper_043 | paper_079 | paper_114 | paper_126,"Do players communicate differently depending on the champion played? | Event-related prefrontal activations during online video game playing are modulated by game mechanics, physiological arousal and the amount of daily playing | Co-activation patterns during viewing of different video game genres",,,
mechanic,Building,mechanic_name,Building,26,3,22,paper_011 | paper_071 | paper_296,Gaming for peace: Virtual contact through cooperative video gaming increases children's intergroup tolerance in the context of the Israeli–Palestinian conflict | Video games can develop graduate skills in higher education students: A randomised trial | Open Access Game-based learning and gamification in initial teacher training in the social sciences: an experiment with MinecraftEdu,,,
mechanic,Cooperative Play,mechanic_name,Cooperative Play,26,3,22,paper_011 | paper_071 | paper_296,Gaming for peace: Virtual contact through cooperative video gaming increases children's intergroup tolerance in the context of the Israeli–Palestinian conflict | Video games can develop graduate skills in higher education students: A randomised trial | Open Access Game-based learning and gamification in initial teacher training in the social sciences: an experiment with MinecraftEdu,,,
mechanic,Exploration,mechanic_name,Exploration,26,3,22,paper_011 | paper_071 | paper_296,Gaming for peace: Virtual contact through cooperative video gaming increases children's intergroup tolerance in the context of the Israeli–Palestinian conflict | Video games can develop graduate skills in higher education students: A randomised trial | Open Access Game-based learning and gamification in initial teacher training in the social sciences: an experiment with MinecraftEdu,,,
