Game Title,Genre,Sub-Genre,Key Mechanics,Key Dynamics,Key Aesthetics,Misc Game Characteristics,PEGI Rating,Gameplay Summary,Major Game Design Elements,Developer,Publisher
Dota 2,RTS,MOBA,Hero selection and role-based play; Lane pushing and defense; Team Fights; Strategic item usage; Map control,"High teamwork and communication; Strategy-driven roles like support, carry, or tank; Dynamic skill-based combat; Resource management; Objective-based dynamics","Immersive, visually distinctive hero designs and animations; Vast range of skins and cosmetics; Spectator-friendly UI; Esports-oriented presentation",Regular gameplay patches with new features; In-game events and seasonal content; Active Esports and tournament scene,PEGI 12,"A complex, team-based multiplayer game where two teams of five players each select unique heroes to fight in lanes, push objectives, and ultimately destroy the opponent's base. Each match provides unique challenges and strategies.",Multi-layered gameplay with a mix of real-time strategy and RPG elements; Role-based team composition and strategy; Esports integration and regular tournaments; In-game achievements and matchmaking system,Valve Corporation,Valve Corporation
Fortnite,Action-Adventure,Battle Royale,Third-person shooting; Building and crafting; Resource gathering; Multiplayer combat; Weapon customization,Survival until the last player; Team coordination in squads; Environmental exploration; Continuous strategic planning based on terrain and resources,"Bright, cartoonish art style; Vibrant landscapes with contrasting color themes; Mix of realistic and exaggerated character designs; Dynamic music that adapts to in-game events; Frequent seasonal and thematic changes",Offers both Battle Royale and Creative modes for building and sharing custom content using Unreal Engine editor.,PEGI 12,"Players compete to be the last one standing in a shrinking play zone while using various weapons, building structures, and deploying tactics to outmaneuver enemies. Fortnite also includes non-combat Creative modes where players can create and share their own levels and game experiences.","Focus on player expression and creativity; engaging players through seasonal updates, cosmetics, and the evolving game map; Community engagement is high due to the developer tools available for custom content creation and in-game events",Epic Games,Epic Games
League of Legends,MOBA,Strategy; RPG,"5v5 Team-Based Combat; Players control unique champions and engage in fast-paced, team-based strategy on a three-lane map; Abilities & Power Scaling; Lane Farming and Objectives; Teams assign roles (Top, Mid, Jungle, Bot ADC, Support) based on map position and function; Summoner Spells and Items","Team Coordination and Synergy; Requires knowledge of map control, warding, and game timing (e.g., dragon and baron respawns); Players who perform well can gain a significant advantage that helps secure victory if properly utilized; In-game communication; Matchmaking and Ranked System",Fantasy Worlds; Character Design; Iconic Map (Summoner's Rift); Visual Feedback; Lore-rich Universe,"One of the most popular esports games globally, with an extensive competitive scene and annual World Championships.",PEGI 12,League of Legends is a fast-paced MOBA where two teams of five fight to destroy each other’s Nexus while defending their own. Players choose unique champions with varying abilities and must work together to capture objectives and overpower the opposing team.,Champions' abilities; team roles; strategic depth; real-time combat; ranked system,Riot Games,Riot Games
Call of Duty: Warzone,FPS,Battle Royale,Massive Multiplayer Battle Royale on a shrinkage map; Looting System; Contracts; Players can complete side missions like scavenger hunts and bounties to earn in-game currency; Respawn Mechanic (Gulag) where eliminated players get a second chance to return to the game by winning a 1v1 battle in the Gulag; Team-based or Solo Play,Player Elimination; Shrinking Play Area; Survival & Strategy; High-stakes Combat; Randomized Spawns where the random placement of weapons and equipment adds an element of unpredictability,Realistic Military Setting; Modern Weapons & Vehicles; Cinematic Effects; Immersive Sound Design; War-torn Landscapes,"Includes cross-play across platforms, allowing PC, PlayStation, and Xbox players to play together.",PEGI 18,"Call of Duty: Warzone is a free-to-play battle royale game where players drop into Verdansk and fight to be the last squad standing. Players can find weapons, complete contracts for in-game cash, and revive fallen teammates through various mechanics.",Battle Royale; realistic combat; team-based play; resource management; map shrinkage,"Infinity Ward, Raven Software",Activision
Minecraft,Adventure,Creative; Survival; Sandbox adventure,"Resource Gathering; Crafting & Building: procedurally generated world encourages players to explore varied biomes, caves, and dungeons; In survival mode, players must manage health, hunger, and combat hostile creatures; Complex engineering using redstone (a power source) allows players to create intricate contraptions and automated systems","Open-ended gameplay where players set their own objectives, from building monuments to defeating the Ender Dragon; Players can express creativity by designing and building vast structures; Players must manage resources and defend against creatures like zombies, skeletons, and creepers; Minecraft offers multiplayer modes where players can collaborate or compete in building or survival challenges; Special maps and custom worlds allow for puzzle-solving and adventure storytelling",Block-Based Art Style; Pixelated Graphics; Wide Open Landscapes; Day/Night Cycle; Endless Creation,"Extensive modding community that extends the base game with new features, textures, and gameplay modes.",PEGI 7,"Minecraft is an open-world sandbox game where players can explore a procedurally generated world, mine resources, craft tools, and build structures. Players can engage in either survival mode, managing health and hunger, or creative mode, with unlimited resources to build.",Open-world sandbox; crafting; resource management; exploration; modding,Mojang,Mojang / Xbox Game Studios
Call of Duty: Modern Warfare,FPS,Military Shooter,"Realistic Gunplay; A gripping, narrative-driven campaign with missions set in various real-world locations; Various multiplayer modes such as team deathmatch, domination, and ground war; Players are rewarded with killstreaks like airstrikes and UAVs after consecutive kills; Players can personalize weapons, attachments, perks, and killstreaks to fit their combat style",Tactical Shooting; Team Play; Killstreak Tension: High-Stakes Combat; Campaign Drama,Photorealistic Graphics; Military Authenticity; Dynamic Lighting; Gripping Sound Design; Cinematic Storytelling,"Includes cross-platform play and progression, enabling PC, PlayStation, and Xbox users to play together",PEGI 18,"Call of Duty: Modern Warfare is a fast-paced FPS that offers both an engaging, narrative-driven single-player campaign and various multiplayer modes. Players fight in realistic, tactical environments with a large array of weapons and equipment.",Tactical combat; realistic shooting mechanics; cinematic storytelling; multiplayer team dynamics,Infinity Ward,Activision
Call of Duty: Black Ops,FPS ,Military Shooter; Espionage,"First-Person Combat where Fast-paced, realistic military shooting mechanics set during the Cold War era; Campaign mode; Variety of competitive modes, including capture the flag, domination, and team deathmatch; Zombies Mode where a cooperative mode where players fend off waves of zombies while managing resources and upgrading weapons; Players can customize loadouts, perks, and killstreak rewards to suit their playstyle",Covert Espionage; Zombie Survival; Competitive Multiplayer; Killstreak System adds tension by rewarding players for getting consecutive kills without dying; High Replay Value,"Cold War Atmosphere; Historical Settings; Cinematic Storytelling; Grim, Dark Tone; Detailed Weaponry","Popular Zombies mode, which later became a staple of the Black Ops series, offering a unique co-op experience",PEGI 18,"Call of Duty: Black Ops features a gripping Cold War-era campaign, fast-paced multiplayer modes, and a cooperative Zombies mode. The game emphasizes covert operations and tactical shooting, offering a mix of stealth and direct combat.",Covert operations; multiplayer modes; Zombies survival; narrative-driven campaign,Treyarch,Activision
Pokemon Go,Adventure,Augmented Reality; Geolocation-based Game,Geolocation: Players use real-world locations to find and catch Pokémon; AR: Pokémon appear in real-world environments; PokéStops and Gyms: Locations for items and battles; Catch and Collect: Complete Pokédex; In-game Events: Exclusive Pokémon and bonuses.,"Exploration: Encourages travel to find different Pokémon; Community Engagement: Raids and battles require teamwork; Resource Management: Manage Poké Balls, potions, etc; Progression: Level up by capturing and evolving Pokémon; Fitness Integration: Promotes walking to hatch eggs.",Cartoony Art Style: Pokémon are bright and colorful; Real-World Environment: AR shows Pokémon in real-world settings; Minimalist Interface: Clean UI for easy interaction; Dynamic Audio: Sound effects and iconic Pokémon cries increase immersion.,Cross-generational Appeal: Loved by both old and new Pokémon fans; Social Play: In-game events encourage interaction; Fitness Integration: Syncs with fitness apps; Frequent Updates: Constantly updated with new events and Pokémon.,PEGI 7,"Pokémon Go is an AR game where players catch Pokémon in real-world locations using their smartphones. They explore to visit PokéStops and Gyms, battle in raids, and complete in-game events, all while walking to unlock rewards.",AR mechanics; geolocation-based gameplay; resource management; social play,"Niantic, Inc","Niantic, Inc., The Pokémon Company"
The King's Request: Physiology and Anatomy Revision Game,Serious Games,Educational; Quiz,Players answer questions on anatomy and physiology; Multiple-choice Mechanics; Progression-based Learning; Time-based Challenges; Score Tracking for self-evaluation,"Engages players in learning medical concepts while gaming; Builds mastery through repetition of quizzes; Difficulty increases as the player progresses; Instant feedback on wrong answers, fostering learning","Simple Visuals emphasizes function over form, with basic graphics; Educational Sound Effects adds cues for correct/incorrect answers; Medical Environment Themed around medieval fantasy with anatomy content; Simple UI focused on quizzes and content",Designed for Students; Fantasy-Style Setting with Unique medieval theme makes anatomy learning more engaging; Regular updates ensure accurate content; Immediate feedback enhances learning,NA,The King's Request is an educational game that tests players on their knowledge of anatomy and physiology through interactive quizzes. It’s set in a medieval fantasy world where players must answer progressively harder questions to help the king’s kingdom survive.,Quiz-based mechanics; educational gameplay; immediate feedback; progression-based difficulty,Physiology with Dr Christian,Physiology with Dr Christian
The Sims 4,Simulation,Life Simulation; Casual game; Strategy game,Players can customize their characters (Sims) with extensive physical and personality options; Create and design homes and lots; Live Mode where players Control Sims’ daily activities and interactions; Sims react based on their emotions; Expansion Packs to add new content regularly added to expand gameplay.,"Players create their own stories through Sims’ actions; Resource Management to manage needs like hunger, sleep, and socializing; Relationship Building; Under autonomy, Sims act independently unless directed","Colorful, playful art style reflecting life simulation; Light music and ambient sounds, depending on Sim actions; Varied and highly customizable house and lot designs; Realistic yet exaggerated Sim animations add humor","Frequent updates and expansion packs with new features; Strong community modding; In Sandbox Mode there are no win conditions, focused on creativity and storytelling; Emotional Complexity for gameplay",PEGI 12,"The Sims 4 is a life simulation game where players create and control characters (Sims), managing their everyday activities, relationships, and homes. Players build homes, guide careers, and create stories in an open-world setting. Expansion packs add depth.",Life simulation mechanics; emergent gameplay; resource and relationship management," Maxis, The Sims Studio",Electronic Arts
Splatoon 3,Action,Third-Person Shooter,"Ink-based Combat where Players shoot ink to cover territory or splat enemies; Switch between human and squid forms; Weapon Variety like ink shooters, rollers, and splat bombs; Turf War Mode where Teams compete to cover the most area with their ink; Focus on 4v4 online matches with various modes;",Territorial Control where the game revolves around covering the most ground with your team’s ink; Fast-Paced Combat; Team Strategy requires Cooperation to win battles; Splats vs. Survival to facilitate Balancing offense (splatting enemies) and defense (covering turf).,"Vibrant, Cartoonish Visuals; Dynamic Soundtrack; Fluid movement between human and squid forms adds charm; Unique Urban-Fantasy Setting",Customizable Gear where Players can equip clothing that influences gameplay; Unique Squid Form Mechanic lets players swim through their ink for faster movement; Frequent Updates; Single-player Campaign offers more structured gameplay alongside multiplayer.,PEGI 7,"Splatoon 3 is a fast-paced third-person shooter where players control ink-based weapons to cover territory and defeat opponents. The game features a vibrant world and emphasizes multiplayer matches, with unique squid transformation mechanics.",Ink-based combat mechanics; focus on territorial control; fast-paced multiplayer; vibrant visual design.,Nintendo EPD,Nintendo
Rail Maze : Train puzzler,Puzzle,Maze/Logic,Track Building where plqayers can create and modify rail tracks to guide trains; Obstacle Avoidance to avoid collisions and obstacles like dynamite; Switching Tracks to redirect trains; Timed Puzzles; Train Path Optimization,Problem Solving where players should show quick thinking to avoid train crashes; Sequential Thinking; Challenge Progression; Pacing where players can take their time in some levels while others are more time-sensitive,Cartoonish Graphics; Train-Themed Aesthetic; Simple UI; Dynamic Obstacles,Multiple Game Modes like Labyrinth and Build-a-Labyrinth; Casual Play making it Accessible for players of all ages; Mobile-Friendly; User-Created Content where players can design their own mazes.,PEGI 3,Rail Maze is a logic-based puzzle game where players build and adjust train tracks to guide trains through obstacles and avoid collisions. The game offers progressively more difficult challenges and multiple game modes.,Puzzle-solving based on track design; train management; obstacle avoidance,Spooky House Studios,Spooky House Studios
