audit_bucket,row_index,paper_id,paper_title,game_id,game_name,mechanic_id,mechanic_name,outcome_canonical,outcome_category,effect_direction,effect_size_raw,p_value,source_quote,is_supported_evidence,edge_weight,review_status,decision,notes
high_weight,2159,paper_121,The impact of explicit mental health messages in video games on players’ motivation and affect,g13,not_reported,,not_reported,relatedness,psychological,positive,not_reported,not_reported,"Furthermore, players higher in depressive symptoms experienced more relatedness, a stronger improvement in mood but also, in the mental health condition, less competence.",True,0.225,needs_review,,
high_weight,2644,paper_158,Digital game-based spelling intervention for children with spelling deficits: A randomized controlled trial,,,,not_reported,phoneme-grapheme mapping,precursor_skill,positive,not_reported,not_reported,"Results showed intervention effects for precursor skills (i.e., phoneme-graphene mapping and phoneme awareness)",True,0.225,needs_review,,
high_weight,2646,paper_158,Digital game-based spelling intervention for children with spelling deficits: A randomized controlled trial,,,,not_reported,spelling accuracy (trained words),spelling,positive,not_reported,not_reported,Results showed intervention effects for ... trained and untrained words including trained spelling phenomena (generalization effect).,True,0.225,needs_review,,
high_weight,3301,paper_191,This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0) Peer-review under responsibility of the scientific committee of the 5th International Conference on Computer Science and,g13,not_reported,,not_reported,improvement in target cognitive tasks,neurocognitive,positive,not_reported,not_reported,"An experiment conducted with pre-testing and post-testing. Participants were generally people who don’t play video games naturally, split into 2 random groups. One group play action video game for 10 – 50 hours, within the span of 2 days to 5 months. The other group play a control casual game. The results of both tests were then compared. Pre-test and post-test results from participants. Pros: The improving results were shown clearly for participants. This shows participants skills on specific task actually increase.",True,0.225,needs_review,,
high_weight,3303,paper_191,This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0) Peer-review under responsibility of the scientific committee of the 5th International Conference on Computer Science and,g13,not_reported,,not_reported,improvement in target cognitive tasks,neurocognitive,positive,not_reported,not_reported,"An experiment conducted with pre-testing and post-testing. Participants were generally people who don’t play video games naturally, split into 2 random groups. One group play action video game for 10 – 50 hours, within the span of 2 days to 5 months. The other group play a control casual game. The results of both tests were then compared. Pre-test and post-test results from participants. Pros: The improving results were shown clearly for participants. This shows participants skills on specific task actually increase.",True,0.225,needs_review,,
high_weight,3319,paper_194,"Impact of an active educational video game on children’s motivation, science knowledge, and physical activity",g13,not_reported,,not_reported,science knowledge (test performance),Learning,,η2 = 0.486 (pre-post),p < 0.001 (pre-post); between-group difference not significant,"students in both groups performed better on the post-test than they did on the pre-test (p < 0.001, η2 = 0.486), and their post-test scores did not differ signiﬁcantly.",True,0.225,needs_review,,
high_weight,3320,paper_194,"Impact of an active educational video game on children’s motivation, science knowledge, and physical activity",g13,not_reported,,not_reported,physical activity intensity (heart rate),Physiological,positive,t = 7.212,p < 0.001,"the students’ average heart rates (HRs) were in the Target-Heart-Rate-Zone (HR = 134 bpm), which was signiﬁcantly higher than the average HR (103 bpm) from the comparison condition (t = 7.212, p < 0.001).",True,0.225,needs_review,,
high_weight,3321,paper_194,"Impact of an active educational video game on children’s motivation, science knowledge, and physical activity",g13,not_reported,,not_reported,situational interest (perceived),Psychological,positive,η2 = 0.301,p < 0.01,"Students in the experimental condition perceived a higher level of situational interest than their counterparts in the comparison group (p < 0.01, and η2 = 0.301).",True,0.225,needs_review,,
high_weight,3322,paper_194,"Impact of an active educational video game on children’s motivation, science knowledge, and physical activity",g13,not_reported,,not_reported,science knowledge (test performance),Learning,,η2 = 0.486 (pre-post),p < 0.001 (pre-post); between-group difference not significant,"students in both groups performed better on the post-test than they did on the pre-test (p < 0.001, η2 = 0.486), and their post-test scores did not differ signiﬁcantly.",True,0.225,needs_review,,
high_weight,3323,paper_194,"Impact of an active educational video game on children’s motivation, science knowledge, and physical activity",g13,not_reported,,not_reported,physical activity intensity (heart rate),Physiological,positive,t = 7.212,p < 0.001,"the students’ average heart rates (HRs) were in the Target-Heart-Rate-Zone (HR = 134 bpm), which was signiﬁcantly higher than the average HR (103 bpm) from the comparison condition (t = 7.212, p < 0.001).",True,0.225,needs_review,,
