item_type,item_id,field,old_value,row_count,paper_count,supported_count,example_papers,example_titles,new_value,decision,notes
outcome_category,Psychological,outcome_category,Psychological,438,62,389,paper_003 | paper_007 | paper_008 | paper_009 | paper_029,Interactive video games to reduce paediatric procedural pain and anxiety: a systematic review and meta-analysis | Effects of violent video games on players’ and observers’ aggressive cognitions and aggressive behaviors | FlashReport Media violence and the self: The impact of personalized gaming characters in aggressive video games on aggressive behavior,,,
outcome_category,Behavioral,outcome_category,Behavioral,212,38,167,paper_007 | paper_008 | paper_034 | paper_039 | paper_040,Effects of violent video games on players’ and observers’ aggressive cognitions and aggressive behaviors | FlashReport Media violence and the self: The impact of personalized gaming characters in aggressive video games on aggressive behavior | How reviews influence product usage post-purchase: An examination of video game playtime,,,
outcome_category,Learning,outcome_category,Learning,117,32,76,paper_040 | paper_052 | paper_062 | paper_063 | paper_065,Beyond playful learning – Serious games for the human-centric digital transformation of production and a design process model | 1-s2.0-S0193397394900043-main | The effects of computer games on primary school students’ achievement and motivation in geography learning,,,
outcome_category,Neuro/Cognitive,outcome_category,Neuro/Cognitive,407,29,376,paper_004 | paper_014 | paper_024 | paper_042 | paper_043,Exposure to ﬁrst-person shooter videogames is associated with multisensory temporal precision and migraine incidence | Improving action video games abilities increases the phonological decoding speed and phonological short-term memory in children with developmental dyslexia | An action video game for the treatment of amblyopia in children: A feasibility study,,,
outcome_category,interpreted_construct,outcome_category,interpreted_construct,127,23,43,paper_018 | paper_023 | paper_067 | paper_100 | paper_113,"Changes in user experience and satisfaction as media technology evolves: The reciprocal relationship between video games and video game-related media | Gamification of the point of sale using hybrid-reality games: Non-players' negative influence on players' service experience | A narrative literature review of games, animations and simulations to teach research methods and statistics",,,
outcome_category,Physiological,outcome_category,Physiological,673,22,507,paper_001 | paper_004 | paper_024 | paper_043 | paper_048,Activity and Energy Expenditure in Older People Playing Active Video Games | Exposure to ﬁrst-person shooter videogames is associated with multisensory temporal precision and migraine incidence | An action video game for the treatment of amblyopia in children: A feasibility study,,,
outcome_category,Social,outcome_category,Social,115,21,110,paper_020 | paper_041 | paper_073 | paper_087 | paper_089,"Social network games (SNGs) addiction: Psychological dimensions and impacts on life quality and society | Research paper Depression, anxiety, and stress in young adult gamers and their relationship with addictive behaviors: A latent profile analysis | The mediation eﬀects of gaming motives between game involvement and problematic Internet use: Escapism, advancement and socializing",,,
outcome_category,behavioral,outcome_category,behavioral,143,16,132,paper_011 | paper_019 | paper_054 | paper_068 | paper_125,"Gaming for peace: Virtual contact through cooperative video gaming increases children's intergroup tolerance in the context of the Israeli–Palestinian conflict | The impacts of game experience and fanwork creation on game loyalty: Mediation effect of perceived value | ""Why pay premium in freemium services?"" A study on perceived value, continued use and purchase intentions in free-to-play games",,,
outcome_category,unclear,outcome_category,unclear,57,15,0,paper_006 | paper_009 | paper_013 | paper_016 | paper_168,Not just playing: The politics of designing games for impact on anticipatory climate governance | Intense acts of violence during video game play make daily life aggression appear innocuous: A new mechanism why violent video games increase aggression | User Communities and Social Software in the Video Game Industry*,,,
outcome_category,psychological,outcome_category,psychological,99,14,86,paper_010 | paper_033 | paper_054 | paper_068 | paper_091,"The effects of sexualized video game characters and character personalization on women's self-objectification and body satisfaction☆ | Brands in virtual reality games: Affective processes within computer-mediated consumer experiences | ""Why pay premium in freemium services?"" A study on perceived value, continued use and purchase intentions in free-to-play games",,,
